Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
ABB,ABB India Limited,Large Cap,Capital Goods,INE117A01022,08-FEB-1995,Nifty 100
ADANIENSOL,Adani Energy Solutions Limited,Large Cap,Power,INE931S01010,31-JUL-2015,Nifty 100
ADANIENT,Adani Enterprises Limited,Large Cap,Metals & Mining,INE423A01024,04-JUN-1997,Nifty 100
ADANIGREEN,Adani Green Energy Limited,Large Cap,Power,INE364U01010,18-JUN-2018,Nifty 100
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Large Cap,Services,INE742F01042,27-NOV-2007,Nifty 100
ADANIPOWER,Adani Power Limited,Large Cap,Power,INE814H01029,20-AUG-2009,Nifty 100
AMBUJACEM,Ambuja Cements Limited,Large Cap,Construction Materials,INE079A01024,18-FEB-1998,Nifty 100
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Large Cap,Healthcare,INE437A01024,10-JAN-1996,Nifty 100
ASIANPAINT,Asian Paints Limited,Large Cap,Consumer Durables,INE021A01026,31-MAY-1995,Nifty 100
DMART,Avenue Supermarts Limited,Large Cap,Consumer Services,INE192R01011,21-MAR-2017,Nifty 100
AXISBANK,Axis Bank Limited,Large Cap,Financial Services,INE238A01034,16-NOV-1998,Nifty 100
BAJAJ-AUTO,Bajaj Auto Limited,Large Cap,Automobile and Auto Components,INE917I01010,26-MAY-2008,Nifty 100
BAJFINANCE,Bajaj Finance Limited,Large Cap,Financial Services,INE296A01032,01-APR-2003,Nifty 100
BAJAJFINSV,Bajaj Finserv Limited,Large Cap,Financial Services,INE918I01026,26-MAY-2008,Nifty 100
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Large Cap,Financial Services,INE118A01012,15-MAR-1995,Nifty 100
BANKBARODA,Bank of Baroda,Large Cap,Financial Services,INE028A01039,19-FEB-1997,Nifty 100
BEL,Bharat Electronics Limited,Large Cap,Capital Goods,INE263A01024,19-JUL-2000,Nifty 100
BPCL,Bharat Petroleum Corporation Limited,Large Cap,Oil Gas & Consumable Fuels,INE029A01011,13-SEP-1995,Nifty 100
BHARTIARTL,Bharti Airtel Limited,Large Cap,Telecommunication,INE397D01024,15-FEB-2002,Nifty 100
BOSCHLTD,Bosch Limited,Large Cap,Automobile and Auto Components,INE323A01026,12-MAY-2003,Nifty 100
BRITANNIA,Britannia Industries Limited,Large Cap,Fast Moving Consumer Goods,INE216A01030,05-NOV-1998,Nifty 100
CGPOWER,CG Power and Industrial Solutions Limited,Large Cap,Capital Goods,INE067A01029,01-MAR-1995,Nifty 100
CANBK,Canara Bank,Large Cap,Financial Services,INE476A01022,23-DEC-2002,Nifty 100
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Large Cap,Financial Services,INE121A01024,15-MAY-1996,Nifty 100
CIPLA,Cipla Limited,Large Cap,Healthcare,INE059A01026,08-FEB-1995,Nifty 100
COALINDIA,Coal India Limited,Large Cap,Oil Gas & Consumable Fuels,INE522F01014,04-NOV-2010,Nifty 100
CUMMINSIND,Cummins India Limited,Large Cap,Capital Goods,INE298A01020,29-MAR-1995,Nifty 100
DLF,DLF Limited,Large Cap,Realty,INE271C01023,05-JUL-2007,Nifty 100
DIVISLAB,Divi's Laboratories Limited,Large Cap,Healthcare,INE361B01024,12-MAR-2003,Nifty 100
DRREDDY,Dr. Reddy's Laboratories Limited,Large Cap,Healthcare,INE089A01031,30-MAY-2003,Nifty 100
EICHERMOT,Eicher Motors Limited,Large Cap,Automobile and Auto Components,INE066A01021,07-SEP-2004,Nifty 100
ETERNAL,ETERNAL LIMITED,Large Cap,Consumer Services,INE758T01015,23-JUL-2021,Nifty 100
GAIL,GAIL (India) Limited,Large Cap,Oil Gas & Consumable Fuels,INE129A01019,02-APR-1997,Nifty 100
GODREJCP,Godrej Consumer Products Limited,Large Cap,Fast Moving Consumer Goods,INE102D01028,20-JUN-2001,Nifty 100
GRASIM,Grasim Industries Limited,Large Cap,Construction Materials,INE047A01021,10-MAY-1995,Nifty 100
HCLTECH,HCL Technologies Limited,Large Cap,Information Technology,INE860A01027,06-JAN-2000,Nifty 100
HDFCAMC,HDFC Asset Management Company Limited,Large Cap,Financial Services,INE127D01025,06-AUG-2018,Nifty 100
HDFCBANK,HDFC Bank Limited,Large Cap,Financial Services,INE040A01034,08-NOV-1995,Nifty 100
HDFCLIFE,HDFC Life Insurance Company Limited,Large Cap,Financial Services,INE795G01014,17-NOV-2017,Nifty 100
HINDALCO,Hindalco Industries Limited,Large Cap,Metals & Mining,INE038A01020,08-JAN-1997,Nifty 100
HAL,Hindustan Aeronautics Limited,Large Cap,Capital Goods,INE066F01020,28-MAR-2018,Nifty 100
HINDUNILVR,Hindustan Unilever Limited,Large Cap,Fast Moving Consumer Goods,INE030A01027,06-JUL-1995,Nifty 100
