Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
20MICRONS,20 Microns Limited,Micro Cap,Others / Diversified,INE144J01027,06-OCT-2008,EQUITY_L (beyond Nifty 500)
21STCENMGM,21st Century Management Services Limited,Micro Cap,Others / Diversified,INE253B01015,03-MAY-1995,EQUITY_L (beyond Nifty 500)
3BBLACKBIO,3B Blackbio Dx Limited,Micro Cap,Others / Diversified,INE994E01018,20-APR-2026,EQUITY_L (beyond Nifty 500)
3IINFOLTD,3i Infotech Limited,Micro Cap,Information Technology,INE748C01038,22-OCT-2021,EQUITY_L (beyond Nifty 500)
3PLAND,3P Land Holdings Limited,Micro Cap,Others / Diversified,INE105C01023,19-JUL-1995,EQUITY_L (beyond Nifty 500)
5PAISA,5Paisa Capital Limited,Micro Cap,Financial Services,INE618L01018,16-NOV-2017,EQUITY_L (beyond Nifty 500)
63MOONS,63 moons technologies limited,Micro Cap,Information Technology,INE111B01023,20-JUN-2005,EQUITY_L (beyond Nifty 500)
A2ZINFRA,A2Z Infra Engineering Limited,Micro Cap,Capital Goods & Engineering,INE619I01012,23-DEC-2010,EQUITY_L (beyond Nifty 500)
AAATECH,AAA Technologies Limited,Micro Cap,Information Technology,INE0D0U01013,28-NOV-2022,EQUITY_L (beyond Nifty 500)
AAKASH,Aakash Exploration Services Limited,Micro Cap,Others / Diversified,INE087Z01024,29-SEP-2020,EQUITY_L (beyond Nifty 500)
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Micro Cap,Healthcare & Pharma,INE198H01019,06-AUG-2021,EQUITY_L (beyond Nifty 500)
AARNAV,Aarnav Fashions Limited,Micro Cap,Textiles & Apparel,INE750R01016,25-FEB-2026,EQUITY_L (beyond Nifty 500)
AARON,Aaron Industries Limited,Micro Cap,Others / Diversified,INE721Z01010,06-NOV-2020,EQUITY_L (beyond Nifty 500)
AARTECH,Aartech Solonics Limited,Micro Cap,Information Technology,INE01C001026,10-JUL-2023,EQUITY_L (beyond Nifty 500)
AARTIDRUGS,Aarti Drugs Limited,Micro Cap,Healthcare,INE767A01016,19-SEP-2003,Nifty Microcap 250
AARTIPHARM,Aarti Pharmalabs Limited,Micro Cap,Healthcare,INE0LRU01027,30-JAN-2023,Nifty Microcap 250
AARTISURF,Aarti Surfactants Limited,Micro Cap,Others / Diversified,INE09EO01013,14-JUL-2020,EQUITY_L (beyond Nifty 500)
AARVI,Aarvi Encon Limited,Micro Cap,Others / Diversified,INE754X01016,24-JUN-2020,EQUITY_L (beyond Nifty 500)
ABANSENT,Abans Enterprises Limited,Micro Cap,Information Technology,INE365O01028,20-APR-2026,EQUITY_L (beyond Nifty 500)
ABCOTS,A B Cotspin India Limited,Micro Cap,Others / Diversified,INE08PH01015,24-SEP-2025,EQUITY_L (beyond Nifty 500)
ABINFRA,A B Infrabuild Limited,Micro Cap,Construction & Infrastructure,INE00YB01025,08-NOV-2024,EQUITY_L (beyond Nifty 500)
ABMINTLLTD,ABM International Limited,Micro Cap,Others / Diversified,INE251C01025,09-SEP-2021,EQUITY_L (beyond Nifty 500)
ABMKNO,ABM Knowledgeware Limited,Micro Cap,Electronics & Components,INE850B01026,20-APR-2026,EQUITY_L (beyond Nifty 500)
ACCELYA,Accelya Solutions India Limited,Micro Cap,Others / Diversified,INE793A01012,01-DEC-1999,EQUITY_L (beyond Nifty 500)
ACCURACY,Accuracy Shipping Limited,Micro Cap,Logistics & Transportation,INE648Z01023,11-DEC-2020,EQUITY_L (beyond Nifty 500)
ACEINTEG,Ace Integrated Solutions Limited,Micro Cap,Others / Diversified,INE543V01017,04-NOV-2022,EQUITY_L (beyond Nifty 500)
ACI,Archean Chemical Industries Limited,Micro Cap,Chemicals,INE128X01021,21-NOV-2022,Nifty Microcap 250
ACL,Andhra Cements Limited,Micro Cap,Others / Diversified,INE666E01020,10-MAY-2023,EQUITY_L (beyond Nifty 500)
ACSTECH,ACS Technologies Limited,Micro Cap,Information Technology,INE366C01021,20-APR-2026,EQUITY_L (beyond Nifty 500)
ADFFOODS,ADF Foods Limited,Micro Cap,FMCG & Consumer Goods,INE982B01027,15-SEP-2010,EQUITY_L (beyond Nifty 500)
ADL,Archidply Decor Limited,Micro Cap,Others / Diversified,INE0CHO01012,01-OCT-2020,EQUITY_L (beyond Nifty 500)
ADOR,Ador Welding Limited,Micro Cap,Capital Goods & Engineering,INE045A01017,10-MAY-1995,EQUITY_L (beyond Nifty 500)
ADROITINFO,Adroit Infotech Limited,Micro Cap,Information Technology,INE737B01033,13-AUG-1997,EQUITY_L (beyond Nifty 500)
ADSL,Allied Digital Services Limited,Micro Cap,Information Technology,INE102I01027,25-JUL-2007,EQUITY_L (beyond Nifty 500)
ADVAIT,Advait Energy Transitions Limited,Micro Cap,Others / Diversified,INE0ALI01010,20-JAN-2026,EQUITY_L (beyond Nifty 500)
ADVANCE,Advance Agrolife Limited,Micro Cap,Agriculture,INE1B0W01010,08-OCT-2025,EQUITY_L (beyond Nifty 500)
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Micro Cap,Retail & Consumer Services,INE199C01026,25-JUN-2007,EQUITY_L (beyond Nifty 500)
ADVENTHTL,Advent Hotels International Limited,Micro Cap,Retail & Consumer Services,INE28GN01010,13-NOV-2025,EQUITY_L (beyond Nifty 500)
ADVENZYMES,Advanced Enzyme Technologies Limited,Micro Cap,Healthcare,INE837H01020,01-AUG-2016,Nifty Microcap 250
AEPL,Artemis Electricals and Projects Limited,Micro Cap,Capital Goods & Engineering,INE757T01025,12-MAR-2026,EQUITY_L (beyond Nifty 500)
AEQUS,Aequs Limited,Micro Cap,Capital Goods,INE947N01017,10-DEC-2025,Nifty Microcap 250
AEROENTER,Aeroflex Enterprises Limited,Micro Cap,Information Technology,INE065D01027,21-NOV-2022,EQUITY_L (beyond Nifty 500)
AEROFLEX,Aeroflex Industries Limited,Micro Cap,Others / Diversified,INE024001021,31-AUG-2023,EQUITY_L (beyond Nifty 500)
AERONEU,Aeroflex Neu Limited,Micro Cap,Others / Diversified,INE035801013,12-JAN-2023,EQUITY_L (beyond Nifty 500)
AETHER,Aether Industries Limited,Micro Cap,Chemicals,INE0BWX01014,03-JUN-2022,Nifty Microcap 250
AFFORDABLE,Affordable Robotic & Automation Limited,Micro Cap,Automobile & Auto Components,INE692Z01013,23-OCT-2024,EQUITY_L (beyond Nifty 500)
AFIL,Akme Fintrade (India) Limited,Micro Cap,Others / Diversified,INE916Y01027,26-JUN-2024,EQUITY_L (beyond Nifty 500)
AFSL,Abans Financial Services Limited,Micro Cap,Financial Services,INE00ZE01026,23-DEC-2022,EQUITY_L (beyond Nifty 500)
AGARIND,Agarwal Industrial Corporation Limited,Micro Cap,Others / Diversified,INE204E01012,26-MAY-2014,EQUITY_L (beyond Nifty 500)
AGARWALEYE,Dr. Agarwal's Health Care Limited,Micro Cap,Healthcare,INE943P01029,04-FEB-2025,Nifty Microcap 250
AGI,AGI Greenpac Limited,Micro Cap,Others / Diversified,INE415A01038,31-MAY-2000,EQUITY_L (beyond Nifty 500)
AGIIL,Agi Infra Limited,Micro Cap,Construction & Infrastructure,INE976R01033,15-JUL-2024,EQUITY_L (beyond Nifty 500)
AGRITECH,Agri-Tech (India) Limited,Micro Cap,Information Technology,INE449G01018,28-JAN-2014,EQUITY_L (beyond Nifty 500)
AGROPHOS,Agro Phos India Limited,Micro Cap,Agriculture,INE740V01019,08-MAR-2019,EQUITY_L (beyond Nifty 500)
AHCL,Anlon Healthcare Limited,Micro Cap,Healthcare & Pharma,INE0Y8W01025,03-SEP-2025,EQUITY_L (beyond Nifty 500)
AHLADA,Ahlada Engineers Limited,Micro Cap,Capital Goods & Engineering,INE00PV01013,28-JAN-2021,EQUITY_L (beyond Nifty 500)
AHLEAST,Asian Hotels (East) Limited,Micro Cap,Retail & Consumer Services,INE926K01017,11-AUG-2010,EQUITY_L (beyond Nifty 500)
AHLUCONT,Ahluwalia Contracts (India) Limited,Micro Cap,Construction,INE758C01029,14-DEC-2009,Nifty Microcap 250
AHLWEST,Asian Hotels (West) Limited,Micro Cap,Retail & Consumer Services,INE915K01010,05-AUG-2010,EQUITY_L (beyond Nifty 500)
AIRAN,Airan Limited,Micro Cap,Others / Diversified,INE645W01026,03-MAY-2019,EQUITY_L (beyond Nifty 500)
AIROLAM,Airo Lam limited,Micro Cap,Others / Diversified,INE801L01010,13-OCT-2021,EQUITY_L (beyond Nifty 500)
AJAXENGG,Ajax Engineering Limited,Micro Cap,Capital Goods & Engineering,INE274Y01021,17-FEB-2025,EQUITY_L (beyond Nifty 500)
AJMERA,Ajmera Realty & Infra India Limited,Micro Cap,Construction & Infrastructure,INE298G01035,16-JUN-2009,EQUITY_L (beyond Nifty 500)
AJOONI,Ajooni Biotech Limited,Micro Cap,Information Technology,INE820Y01021,07-MAY-2021,EQUITY_L (beyond Nifty 500)
AKASH,Akash Infra-Projects Limited,Micro Cap,Construction & Infrastructure,INE737W01013,11-OCT-2019,EQUITY_L (beyond Nifty 500)
AKCAPIT,AK Capital Services Limited,Micro Cap,Financial Services,INE701G01012,20-APR-2026,EQUITY_L (beyond Nifty 500)
AKG,Akg Exim Limited,Micro Cap,Others / Diversified,INE00Y801016,16-FEB-2021,EQUITY_L (beyond Nifty 500)
AKI,AKI India Limited,Micro Cap,Others / Diversified,INE642Z01026,06-APR-2023,EQUITY_L (beyond Nifty 500)
