Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
360ONE,360 ONE WAM LIMITED,Mid Cap,Financial Services,INE466L01038,19-SEP-2019,Nifty Midcap 150
3MINDIA,3M India Limited,Mid Cap,Diversified,INE470A01017,13-AUG-2004,Nifty Midcap 150
ACC,ACC Limited,Mid Cap,Construction Materials,INE012A01025,20-NOV-1996,Nifty Midcap 150
AIAENG,AIA Engineering Limited,Mid Cap,Capital Goods,INE212H01026,14-DEC-2005,Nifty Midcap 150
APLAPOLLO,APL Apollo Tubes Limited,Mid Cap,Capital Goods,INE702C01027,14-DEC-2011,Nifty Midcap 150
AUBANK,AU Small Finance Bank Limited,Mid Cap,Financial Services,INE949L01017,10-JUL-2017,Nifty Midcap 150
AWL,AWL Agri Business Limited,Mid Cap,Fast Moving Consumer Goods,INE699H01024,08-FEB-2022,Nifty Midcap 150
ABBOTINDIA,Abbott India Limited,Mid Cap,Healthcare,INE358A01014,08-JAN-2010,Nifty Midcap 150
ATGL,Adani Total Gas Limited,Mid Cap,Oil Gas & Consumable Fuels,INE399L01023,05-NOV-2018,Nifty Midcap 150
ABCAPITAL,Aditya Birla Capital Limited,Mid Cap,Financial Services,INE674K01013,01-SEP-2017,Nifty Midcap 150
AJANTPHARM,Ajanta Pharma Limited,Mid Cap,Healthcare,INE031B01049,29-MAY-2000,Nifty Midcap 150
ALKEM,Alkem Laboratories Limited,Mid Cap,Healthcare,INE540L01014,23-DEC-2015,Nifty Midcap 150
ANTHEM,Anthem Biosciences Limited,Mid Cap,Healthcare,INE0CZ201020,21-JUL-2025,Nifty Midcap 150
APARINDS,Apar Industries Limited,Mid Cap,Capital Goods,INE372A01015,12-JUL-2004,Nifty Midcap 150
APOLLOTYRE,Apollo Tyres Limited,Mid Cap,Automobile and Auto Components,INE438A01022,31-MAY-1995,Nifty Midcap 150
ASHOKLEY,Ashok Leyland Limited,Mid Cap,Capital Goods,INE208A01029,25-MAY-1995,Nifty Midcap 150
ASTRAL,Astral Limited,Mid Cap,Capital Goods,INE006I01046,20-MAR-2007,Nifty Midcap 150
AUROPHARMA,Aurobindo Pharma Limited,Mid Cap,Healthcare,INE406A01037,19-JUL-2000,Nifty Midcap 150
AIIL,Authum Investment & Infrastructure Limited,Mid Cap,Financial Services,INE206F01022,23-APR-2024,Nifty Midcap 150
BSE,BSE Limited,Mid Cap,Financial Services,INE118H01025,03-FEB-2017,Nifty Midcap 150
