Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
CARTRADE,Cartrade Tech Limited,Small Cap,Consumer Services,INE290S01011,20-AUG-2021,Nifty Smallcap 250
CASTROLIND,Castrol India Limited,Small Cap,Oil Gas & Consumable Fuels,INE172A01027,14-MAR-2014,Nifty Smallcap 250
CEATLTD,CEAT Limited,Small Cap,Automobile and Auto Components,INE482A01020,01-FEB-2008,Nifty Smallcap 250
CEMPRO,Cemindia Projects Limited,Small Cap,Construction,INE686A01026,10-FEB-1999,Nifty Smallcap 250
CENTRALBK,Central Bank of India,Small Cap,Financial Services,INE483A01010,21-AUG-2007,Nifty Smallcap 250
CDSL,Central Depository Services (India) Limited,Small Cap,Financial Services,INE736A01011,30-JUN-2017,Nifty Smallcap 250
CHALET,Chalet Hotels Limited,Small Cap,Consumer Services,INE427F01016,07-FEB-2019,Nifty Smallcap 250
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Small Cap,Chemicals,INE085A01013,14-JUN-1995,Nifty Smallcap 250
CHENNPETRO,Chennai Petroleum Corporation Limited,Small Cap,Oil Gas & Consumable Fuels,INE178A01016,07-JUN-2000,Nifty Smallcap 250
CHOICEIN,Choice International Limited,Small Cap,Financial Services,INE102B01014,08-APR-2022,Nifty Smallcap 250
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Small Cap,Financial Services,INE149A01033,25-SEP-2017,Nifty Smallcap 250
CUB,City Union Bank Limited,Small Cap,Financial Services,INE491A01021,25-AUG-1998,Nifty Smallcap 250
CLEAN,Clean Science and Technology Limited,Small Cap,Chemicals,INE227W01023,19-JUL-2021,Nifty Smallcap 250
COHANCE,Cohance Lifesciences Limited,Small Cap,Healthcare,INE03QK01018,09-MAR-2020,Nifty Smallcap 250
CAMS,Computer Age Management Services Limited,Small Cap,Financial Services,INE596I01020,07-MAY-2021,Nifty Smallcap 250
CONCORDBIO,Concord Biotech Limited,Small Cap,Healthcare,INE338H01029,18-AUG-2023,Nifty Smallcap 250
CRAFTSMAN,Craftsman Automation Limited,Small Cap,Automobile and Auto Components,INE00LO01017,25-MAR-2021,Nifty Smallcap 250
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Small Cap,Financial Services,INE741K01010,23-AUG-2018,Nifty Smallcap 250
CROMPTON,Crompton Greaves Consumer Electricals Limited,Small Cap,Consumer Durables,INE299U01018,13-MAY-2016,Nifty Smallcap 250
CYIENT,Cyient Limited,Small Cap,Information Technology,INE136B01020,30-SEP-1998,Nifty Smallcap 250
DCMSHRIRAM,DCM Shriram Limited,Small Cap,Diversified,INE499A01024,12-APR-1995,Nifty Smallcap 250
DOMS,DOMS Industries Limited,Small Cap,Fast Moving Consumer Goods,INE321T01012,20-DEC-2023,Nifty Smallcap 250
DATAPATTNS,Data Patterns (India) Limited,Small Cap,Capital Goods,INE0IX101010,24-DEC-2021,Nifty Smallcap 250
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Small Cap,Chemicals,INE501A01019,17-JAN-2003,Nifty Smallcap 250
DEEPAKNTR,Deepak Nitrite Limited,Small Cap,Chemicals,INE288B01029,29-SEP-2010,Nifty Smallcap 250
DELHIVERY,Delhivery Limited,Small Cap,Services,INE148O01028,24-MAY-2022,Nifty Smallcap 250
DEVYANI,Devyani International Limited,Small Cap,Consumer Services,INE872J01023,16-AUG-2021,Nifty Smallcap 250
LALPATHLAB,Dr. Lal Path Labs Ltd.,Small Cap,Healthcare,INE600L01024,23-DEC-2015,Nifty Smallcap 250
EIDPARRY,EID Parry India Limited,Small Cap,Fast Moving Consumer Goods,INE126A01031,10-MAY-1995,Nifty Smallcap 250
EIHOTEL,EIH Limited,Small Cap,Consumer Services,INE230A01023,08-FEB-1995,Nifty Smallcap 250
ELECON,Elecon Engineering Company Limited,Small Cap,Capital Goods,INE205B01031,29-SEP-2006,Nifty Smallcap 250
ELGIEQUIP,Elgi Equipments Limited,Small Cap,Capital Goods,INE285A01027,22-NOV-1995,Nifty Smallcap 250
EMAMILTD,Emami Limited,Small Cap,Fast Moving Consumer Goods,INE548C01032,03-AUG-2006,Nifty Smallcap 250
EMCURE,Emcure Pharmaceuticals Limited,Small Cap,Healthcare,INE168P01015,10-JUL-2024,Nifty Smallcap 250
EMMVEE,Emmvee Photovoltaic Power Limited,Small Cap,Capital Goods,INE1C6T01020,18-NOV-2025,Nifty Smallcap 250
